id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
AC097522.2,57.0,41.0,69.0,11.0,40.0
USP46,2610.0,2460.0,2602.0,1646.0,2073.0
USP46-AS1,50.0,63.0,29.0,20.0,41.0
AC104066.3,3.0,16.0,10.0,14.0,4.0
LINC01618,554.0,742.0,988.0,1293.0,565.0
DANCR,8693.0,6628.0,8783.0,7168.0,6901.0
AC104066.4,80.0,121.0,150.0,132.0,90.0
ERVMER34-1,55.0,63.0,82.0,158.0,40.0
RASL11B,101.0,77.0,82.0,67.0,44.0
SCFD2,4809.0,6064.0,6502.0,6892.0,5458.0
AC023154.1,46.0,59.0,44.0,39.0,42.0
FIP1L1,6975.0,6656.0,7126.0,7443.0,5993.0
LNX1,140.0,217.0,227.0,218.0,293.0
LNX1-AS1,4.0,12.0,25.0,10.0,52.0
LNX1-AS2,0.0,1.0,1.0,0.0,0.0
AC124017.1,3.0,13.0,4.0,12.0,6.0
AC105384.1,25.0,51.0,50.0,39.0,45.0
AC110792.3,15.0,25.0,16.0,17.0,24.0
CHIC2,2243.0,4630.0,3549.0,3795.0,5507.0
AC110792.2,0.0,1.0,3.0,2.0,7.0
AC110792.4,3.0,8.0,5.0,9.0,7.0
GSX2,131.0,1631.0,1236.0,1899.0,3550.0
PDGFRA,64.0,46.0,36.0,90.0,193.0
LINC02283,15.0,51.0,18.0,20.0,66.0
AC098587.1,0.0,0.0,0.0,0.0,0.0
AC098868.1,0.0,0.0,0.0,0.0,0.0
LINC02260,0.0,0.0,1.0,0.0,1.0
KIT,335.0,300.0,220.0,138.0,383.0
AC097494.1,0.0,0.0,0.0,0.0,0.0
LINC02358,0.0,0.0,0.0,1.0,0.0
AC111194.1,0.0,1.0,0.0,3.0,1.0
AC111194.2,2.0,7.0,28.0,7.0,4.0
KDR,5.0,3.0,12.0,3.0,0.0
AC021220.2,0.0,0.0,0.0,0.0,1.0
SRD5A3,897.0,808.0,679.0,787.0,787.0
SRD5A3-AS1,94.0,139.0,73.0,93.0,119.0
AC069200.1,14.0,26.0,8.0,16.0,26.0
TMEM165,7015.0,6574.0,6788.0,6200.0,6270.0
CLOCK,4549.0,4968.0,4919.0,5076.0,4747.0
AC024243.1,13.0,30.0,18.0,20.0,30.0
PDCL2,71.0,96.0,77.0,6.0,10.0
NMU,2123.0,1453.0,1630.0,75.0,385.0
EXOC1L,3.0,0.0,4.0,2.0,0.0
EXOC1,4926.0,5120.0,5106.0,6116.0,5353.0
