"","res_list.IN_2.padj","res_list.IN_1.padj","res_list.IN.padj","res_list.nIN_1.padj","res_list.nIN.padj","res_list.nEN_1.padj","res_list.nEN.padj","res_list.IPC.padj","res_list.MGE.padj","res_list.RG.padj","Mean"
"GRIN2D",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.903898096600283,0.375219718943615,0.909230631650084
"GRWD1",0.999779935325884,NA,0.999533675599976,NA,1,0.997804448170443,0.999861033220845,1,0.971710616035322,0.999989100947748,0.996084851162527
"KCNJ14",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.919014294883156,0.999989100947748,0.98921632918596
"CYTH2",0.999779935325884,0.998920040238942,0.999533675599976,0.930035233514112,1,0.995552593510072,0.999861033220845,1,0.989591590943624,0.999989100947748,0.99132632033012
"LMTK3",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.857141555782608,0.999989100947748,0.982038162609633
"RPL18",0.780331457432175,0.998920040238942,0.388365055321425,0.392127368506448,1,0.995552593510072,0.999861033220845,1,0.0364953304054955,0.114991473128709,0.670664435176411
"SPHK2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.977894135586498,0.999989100947748,0.996576309273878
"DBP",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.747356502741886,0.999989100947748,0.968315030979542
"CA11",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.992972768677465,0.999989100947748,0.998461138410249
"BCAT2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.997550839874536,0.999989100947748,0.999033397309883
"PPP1R15A",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.918923139079138,0.999989100947748,0.989204934710458
"NUCB1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.977894135586498,0.999989100947748,0.996576309273878
"BAX",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.911100924237795,0.671724219066258,0.947194047620104
"FTL",0.999779935325884,0.998920040238942,0.999533675599976,0.843235083253907,1,0.995552593510072,0.999861033220845,1,0.973764585032627,0.999989100947748,0.981063604713
"GYS1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.885242114231298,0.999989100947748,0.984994806604478
"RUVBL2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.197059776677039,0.999989100947748,0.898972014410195
"SNRNP70",0.999779935325884,0.999822427120025,0.999533675599976,0.904456379915455,1,0.995552593510072,0.999861033220845,1,0.973764585032627,0.999989100947748,0.987275973067263
"LIN7B",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.992402788428335,0.999989100947748,0.998389890879107
"PPFIA3",0.999779935325884,NA,0.999533675599976,NA,0.912091366133573,0.995552593510072,0.999861033220845,1,0.965532509894156,0.860765927384593,0.966639630133638
"SLC6A16",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.936983835400022,0.999989100947748,0.991462521750568
"TEAD2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.978650581945585,0.999989100947748,0.996670865068764
"PTH2",0.293960670033192,NA,0.999533675599976,NA,1,0.98142422361188,0.999861033220845,1,0.71211047805766,0.748913745458835,0.841975478247799
"SLC17A7",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.982415678026671,0.903039938532649,0.985022856777012
"PIH1D1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.876792536619485,0.999989100947748,0.983938609403001
"ALDH16A1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.886026936605679,0.999989100947748,0.985092909401275
"RPL13A",0.999779935325884,0.998920040238942,0.999533675599976,0.419016711487363,1,0.995552593510072,0.999861033220845,1,0.567037311260781,0.72236289306692,0.870206419371078
"RPS11",0.999779935325884,0.998920040238942,0.999533675599976,0.378744724782105,1,0.995552593510072,0.999861033220845,1,0.775958893216193,0.332069871405983,0.84804207673
"NOSIP",0.999779935325884,0.998920040238942,0.999533675599976,0.99729590176292,1,0.995552593510072,0.999861033220845,1,0.232088930953323,0.833373482866646,0.905640559347861
"PRR12",0.999779935325884,NA,0.999533675599976,NA,1,0.999408555336013,0.999861033220845,1,0.998767131859914,0.999989100947748,0.999667429036297
"RRAS",NA,NA,0.999533675599976,NA,1,0.998836316071219,0.999861033220845,1,0.87699792784422,NA,0.979204825456043
"SCAF1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.968879778441586,0.999989100947748,0.995449514630764
"IRF3",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.695497738459437,0.999989100947748,0.961276759632995
"BCL2L12",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.0759260037420012,0.821055862427039,0.861463637978227
"PRMT1",0.999779935325884,0.998920040238942,0.999533675599976,0.949880820047701,1,0.995552593510072,0.999861033220845,1,0.361116348902402,0.540168916951363,0.884481336379718
"CPT1C",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.752787665186629,0.999989100947748,0.968438000473894
"AP2A1",0.999779935325884,NA,0.999533675599976,NA,1,0.997265578142747,0.999861033220845,1,0.960448533672492,0.999989100947748,0.994609732113712
"FUZ",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.817547165384884,0.77098988809977,0.947908036392679
"MED25",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.492459660866461,0.999989100947748,0.936452925745114
"PTOV1-AS1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.931295949166983,NA,0.989431883831966
"PTOV1",0.999779935325884,0.998920040238942,0.999533675599976,0.708966890394336,1,1,0.999861033220845,1,0.967333491619302,0.999989100947748,0.967438416734703
"PNKP",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.541864061481728,0.999989100947748,0.942072550010782
"AKT1S1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.739922733047422,0.999989100947748,0.966829883956493
"TBC1D17",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.997674005899631,0.999989100947748,0.999048793063019
"NUP62",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.99665866371209,0.710196454761941,0.962697794516351
"ATF5",0.999779935325884,NA,0.999533675599976,NA,1,0.999503412112284,0.999861033220845,1,0.955378108271398,0.999989100947748,0.994255658184767
"VRK3",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.996425913764549,0.999989100947748,0.998892781546134
"ZNF473",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.987055906501547,0.999989100947748,0.997721530638259
"MYH14",NA,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.976005796055662,NA,0.99590008414608
"KCNC3",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.936983835400022,0.999989100947748,0.992018447561809
"NR1H2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.997550839874536,0.999989100947748,0.999033397309883
"POLD1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.926700111363433,0.999989100947748,0.990177056245995
"EMC10",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.809751306378795,0.999989100947748,0.975558455622915
"JOSD2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.969776384140877,0.999989100947748,0.995561590343175
"LRRC4B",0.999779935325884,0.998920040238942,0.999533675599976,0.612559643066454,1,0.995552593510072,0.999861033220845,1,0.926232231646026,0.999989100947748,0.953242825355595
"SYT3",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.994653868392581,NA,0.998483015149908
"C19orf81",0.999779935325884,NA,0.260159578417081,NA,1,0.933639336825547,0.999861033220845,1,0.110739671319279,0.061401708330381,0.670697657929877
"SHANK1",0.999779935325884,NA,0.999533675599976,NA,1,0.998836316071219,0.999861033220845,1,0.881384722313135,0.999989100947748,0.984923097934851
"CLEC11A",0.999779935325884,NA,0.988712349637233,NA,1,0.995552593510072,0.999861033220845,1,0.556973518689704,0.825618153584577,0.920812197996039
"C19orf48",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.995674784643052,0.999989100947748,0.998798890405947
"CTU1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.954931906259269,0.999989100947748,0.993706030607974
"IGLON5",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.370428546880695,0.999989100947748,0.920643110685652
"VSIG10L",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.974636499461014,NA,0.995623391016827
"ETFB",0.999779935325884,0.998920040238942,0.999533675599976,0.897574314815279,1,0.586388104453665,0.999861033220845,1,0.802721851829512,0.996824601745539,0.928160355722964
"ZNF175",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.963493181347211,NA,0.994031488429141
"SPACA6",0.999779935325884,NA,0.714965919297754,NA,1,0.995552593510072,0.999861033220845,1,0.804354018692029,0.999989100947748,0.939312825124291
"ZNF577",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.863925600441451,0.999989100947748,0.982330242380747
"ZNF649",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.883019512996554,0.999989100947748,0.984716981450135
"ZNF350-AS1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.973764585032627,0.999989100947748,0.996060115454644
"ZNF350",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.901178780054873,0.999989100947748,0.986986889832425
"ZNF615",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.936358849037589,NA,0.990155155242052
"ZNF614",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.970334525981713,0.999989100947748,0.99563135807328
"ZNF432",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.802721851829512,0.999989100947748,0.974679773804255
"ZNF616",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.720646091979399,0.999989100947748,0.96442030382299
"ZNF836",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.957685152779545,0.999989100947748,0.994050186423009
"PPP2R1A",0.999779935325884,0.998920040238942,0.999533675599976,0.924028300679371,1,0.995552593510072,0.999861033220845,1,0.977894135586498,0.999989100947748,0.989555881510934
"ZNF766",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.96087871306257,0.999989100947748,0.994449381458387
"ZNF480",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.992114508667065,0.999989100947748,0.998353855908949
"ZNF610",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.987055906501547,0.999989100947748,0.997721530638259
"ZNF880",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.987055906501547,NA,0.998032935806893
"ZNF528-AS1",0.999779935325884,NA,0.999533675599976,NA,1,0.997345116728278,0.999861033220845,1,0.997550839874536,0.999989100947748,0.999257462712158
"ZNF528",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.984865314978946,NA,0.997084650376532
"ZNF701",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.975770369547018,0.999989100947748,0.996310838518943
"ZNF83",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.85661425633576,0.999989100947748,0.981416324367536
"ZNF611",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.592037655296366,0.999989100947748,0.948344249237611
"ZNF320",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.976713716817926,NA,0.995920136353529
"ZNF160",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.980011786227861,0.999989100947748,0.996841015604048
"ZNF415",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.823800315204871,0.999989100947748,0.977314581726174
"ZNF347",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.936983835400022,0.999989100947748,0.991462521750568
"ZNF665",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.926232231646026,NA,0.988708495614686
"ZNF677",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.991831346365092,0.999989100947748,0.998318460621202
"ZNF845",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.936983835400022,NA,0.99087978279239
"ZNF525",NA,NA,0.999533675599976,NA,1,0.998836316071219,0.999861033220845,1,0.995674784643052,NA,0.998984301589182
"ZNF765",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.893099315635836,0.999989100947748,0.985976956780045
"AC022137.4",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.947277767594634,0.999989100947748,0.992749263274895
"ZNF761",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.975146353269514,NA,0.995015609266735
"ZNF331",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.995674784643052,0.999989100947748,0.998798890405947
"AC008440.1",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,NA,NA,0.998989460466179
"MYADM",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.783163834302649,0.999989100947748,0.972235021613397
"PRKCG",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.619482929086958,0.999989100947748,0.951774908461435
"CACNG7",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.292710882855654,0.127732524654348,0.801896330645847
"CACNG8",0.835076869309659,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,0.28977863037211,0.000179298189536278,1.57405456381058e-05,0.63999973009348
"NDUFA3",0.999779935325884,0.998920040238942,0.999533675599976,0.949880820047701,1,0.995552593510072,0.999861033220845,1,0.87534750920269,0.999989100947748,0.981886470809386
"TFPT",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.920607529113746,0.999989100947748,0.989415483464784
"PRPF31",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.935076141779478,0.999989100947748,0.991224060048
"CNOT3",0.999779935325884,NA,0.999533675599976,NA,1,0.996162856494602,0.999861033220845,1,0.92537214798429,0.999989100947748,0.990087343696668
"LENG1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.960448533672492,0.865391101463744,0.977570859099127
"MBOAT7",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.777143194032611,0.999989100947748,0.971482441579642
"TSEN34",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.995408861361466,0.655826463550553,0.955745320321099
"RPS9",0.999779935325884,0.998920040238942,0.815459074407354,0.252934659368717,1,0.991539091283908,0.999861033220845,1,0.270209285531034,0.121061505243383,0.744976462462007
"TTYH1",0.999779935325884,0.998920040238942,0.999533675599976,0.210556637130603,1,0.977873779067375,0.999861033220845,1,0.00537331491712169,0.999989100947748,0.819188751644849
"LENG8-AS1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.975146353269514,0.996934588609048,0.995851022441917
"LENG8",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.857141555782608,0.999989100947748,0.981482236798392
"NLRP2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.987055906501547,NA,0.997397592022618
"AC011476.3",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.975146353269514,0.999989100947748,0.996232836484255
"GP6",0.999779935325884,NA,0.999533675599976,NA,1,0.996161484356999,0.999861033220845,1,0.990591775421675,0.999989100947748,0.998239625609141
"RDH13",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.985491327081678,0.999989100947748,0.997525958210775
"EPS8L1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.976713716817926,0.999989100947748,0.996428756927806
"PPP1R12C",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.973764585032627,0.999989100947748,0.996060115454644
"TNNI3",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.753918253553718,0.416563317028684,0.895651101029897
"SYT5",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.992426173913927,0.751007740916727,0.967270144060929
"PPP6R1",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.98847914576388,0.999989100947748,0.998455361357292
"HSPBP1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.876792536619485,0.999989100947748,0.983938609403001
"BRSK1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.47386472103082,0.778488807648523,0.905885095792015
"KMT5C",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.989162577659848,0.999989100947748,0.997984864533047
"RPL28",0.999779935325884,0.998920040238942,0.999533675599976,0.82164876269677,1,0.995552593510072,0.999861033220845,1,0.525373515421827,0.625676225269026,0.896634578128334
"UBE2S",0.999779935325884,0.998920040238942,0.999533675599976,0.936691425270002,0.0092115413169428,0.995552593510072,0.999861033220845,1,0.975146353269514,0.999989100947748,0.891468569869993
"SHISA7",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.973608923385136,0.999989100947748,0.996040657748708
"ISOC2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.0285854013381403,0.999989100947748,0.877912717492833
"ZNF628",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.997674005899631,0.999989100947748,0.999048793063019
"NAT14",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.113080535644233,0.545431377947485,0.831654893906062
"ZNF579",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.795362717102717,0.999989100947748,0.973759881963405
"FIZ1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.977894135586498,0.999989100947748,0.996576309273878
"ZNF524",0.999779935325884,NA,0.999533675599976,NA,1,0.996162856494602,0.999861033220845,1,0.772975252092674,NA,0.96690182181914
"ZNF865",0.999779935325884,NA,0.999533675599976,NA,1,0.959104929816244,0.999861033220845,1,0.996479189589731,0.999989100947748,0.994343483062553
"ZNF784",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.963493181347211,NA,0.993073413946351
"ZNF580",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.451172140831513,0.617668034444878,0.882945926616646
"ZNF581",0.999779935325884,NA,0.999953418375538,NA,1,0.995552593510072,0.999861033220845,1,0.436468097669463,0.999989100947748,0.928950522381194
"CCDC106",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.650159748258336,0.999989100947748,0.955609510857858
"U2AF2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.99023514085826,0.999989100947748,0.998118934932848
"EPN1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.920607529113746,0.999989100947748,0.989415483464784
"ZNF787",0.983635118850666,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.841453068019119,0.999989100947748,0.977503073768553
"ZNF444",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.99144990783431,0.999989100947748,0.998270780804854
"GALP",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.495941442183443,NA,0.915148124085723
"ZSCAN5A",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.457916066821479,0.999989100947748,0.93157905067825
"AC006116.8",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.963493181347211,NA,0.993073413946351
"ZNF582",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.989037105317567,NA,0.997680620424906
"ZNF582-AS1",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.978650581945585,NA,0.995599647379413
"ZNF583",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.963493181347211,0.999989100947748,0.995332115805208
"ZNF667",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.990004227433615,NA,0.997818780727199
"ZNF667-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
