source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
SMAD3,FOXP3,True,True,False,True,True,False,1,,TRRUST_DoRothEA,transcriptional,,,1,0
SPI1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
STAT1,FOXP3,True,False,False,False,False,False,0,,IntAct_DoRothEA;TRRUST_DoRothEA,transcriptional,,,2,0
STAT2,USF1,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA,transcriptional,,,3,0
TAL1,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,3,1
TFAP2C,CTBP2,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
TP53,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
BATF,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
BCL11A,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
CCNT2,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
E2F6,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
EP300,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
EP300,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
HDAC2,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
HEY1,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
MAX,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
MEF2A,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
MEF2C,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
NFE2,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
PAX5,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
RAD21,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
REST,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
SP1,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
SPI1,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
TAF7,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
TCF12,MSX2,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
USF1,TCF12,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
SPI1,USF1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
YY1,USF1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
TCF12,MSX1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
TCF12,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
TCF12,SIX3,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
USF1,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
EP300,NFYB,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
RAD21,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
NRF1,RAD21,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,MSX1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,MSX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,SIX3,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
SUZ12,MSX1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
SUZ12,MSX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
SUZ12,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
SUZ12,SIX3,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
NFYB,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
AR,CTBP2,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
AR,RAD21,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
E2F4,MSX2,True,False,False,False,False,False,1,HTRIdb:17531812,HTRIdb,transcriptional,17531812,1,1,1
FOXP3,DLX2,True,False,False,False,False,False,1,HTRIdb:20554955,HTRIdb,transcriptional,20554955,1,1,1
FOXP3,RAD21,True,False,False,False,False,False,1,HTRIdb:20554955,HTRIdb,transcriptional,20554955,1,1,1
FOXP3,TCF12,True,False,False,False,False,False,1,HTRIdb:20554955,HTRIdb,transcriptional,20554955,1,1,1
TBX22,MSX2,True,False,True,True,False,True,1,SIGNOR:20033915,SIGNOR,transcriptional,20033915,1,1,1
MIMAT0000089,FOXP3,True,False,False,False,False,False,2,miRTarBase:19408243;miRecords:19408243,miR2Disease;miRTarBase;miRecords,post_transcriptional,19408243,1,3,3
MIMAT0000449,FOXP3,True,False,False,False,False,False,1,ncRDeathDB:25712342,ncRDeathDB,post_transcriptional,25712342,1,1,1
MIMAT0004608,FOXP3,True,False,False,False,False,False,1,ncRDeathDB:25712342,ncRDeathDB,post_transcriptional,25712342,1,1,1
MIMAT0004504,FOXP3,True,False,False,False,False,False,1,miRecords:19408243,miRecords,post_transcriptional,19408243,1,1,1
MIMAT0000421,RAD21,True,False,False,False,False,False,1,miRecords:20842632,miRecords,post_transcriptional,20842632,1,1,1
MIMAT0002176,NFYB,True,False,False,False,False,False,1,miRTarBase:21252292,miRTarBase,post_transcriptional,21252292,1,1,1
MIMAT0000265,TCF12,True,False,False,False,False,False,2,miRTarBase:21282569;miRTarBase:22523078,miRTarBase,post_transcriptional,21282569;22523078,2,1,1
MIMAT0000432,CTBP2,True,False,False,False,False,False,1,miRTarBase:21867514,miRTarBase,post_transcriptional,21867514,1,1,1
MIMAT0000268,TCF12,True,False,False,False,False,False,1,miRTarBase:22523078,miRTarBase,post_transcriptional,22523078,1,1,1
MIMAT0000073,SUZ12,True,False,False,False,False,False,1,miRTarBase:23451058,miRTarBase,post_transcriptional,23451058,1,1,1
MIMAT0000430,SUZ12,True,False,False,False,False,False,1,miRTarBase:21770894,miRTarBase,post_transcriptional,21770894,1,1,1
MIMAT0000424,SUZ12,True,False,False,False,False,False,1,miRTarBase:23733246,miRTarBase,post_transcriptional,23733246,1,1,1
MIMAT0000318,SUZ12,True,False,False,False,False,False,2,miRTarBase:23735840;miRTarBase:24169343,miRTarBase,post_transcriptional,23735840;24169343,2,1,1
MIMAT0000267,FOXP3,True,False,False,False,False,False,1,miRTarBase:24316592,miRTarBase,post_transcriptional,24316592,1,1,1
MIMAT0003180,SUZ12,True,False,False,False,False,False,1,miRTarBase:23426183,miRTarBase,post_transcriptional,23426183,1,1,1
MIMAT0000617,SUZ12,True,False,False,False,False,False,1,miRTarBase:24169343,miRTarBase,post_transcriptional,24169343,1,1,1
MIMAT0000092,RAD21,True,False,False,False,False,False,1,miRTarBase:26482648,miRTarBase,post_transcriptional,26482648,1,1,1
MIMAT0000510,SUZ12,True,False,False,False,False,False,1,miRTarBase:27582550,miRTarBase,post_transcriptional,27582550,1,1,1
MIMAT0000753,CTBP2,True,False,False,False,False,False,1,miRTarBase:25895816,miRTarBase,post_transcriptional,25895816,1,1,1
MIMAT0000070,RAD21,True,False,False,False,False,False,1,miRTarBase:26482648,miRTarBase,post_transcriptional,26482648,1,1,1
CDKN2B-AS1,SUZ12,True,False,False,False,False,False,2,LncRNADisease:21151178;LncRNADisease:21874119,LncRNADisease,lncrna_post_transcriptional,21151178;21874119,2,1,1
HOTAIR,SUZ12,True,False,False,False,False,False,1,LncRNADisease:19015002,LncRNADisease,lncrna_post_transcriptional,19015002,1,1,1
Xist,SUZ12,True,False,False,False,False,False,1,lncrnadb:20542000,lncrnadb,lncrna_post_transcriptional,20542000,1,1,1
Evf2,DLX2,True,False,False,False,False,False,1,lncrnadb:16705037,lncrnadb,lncrna_post_transcriptional,16705037,1,1,1
41867,FOXP3,True,False,False,False,False,False,0,,CancerDrugsDB,small_molecule_protein,,,1,1
126941,FOXP3,True,False,False,False,False,False,0,,CancerDrugsDB,small_molecule_protein,,,1,1
