name,shared name,type,avgExpression
TRIL,TRIL,None,0.580185457344457
BAG3,BAG3,NeuroDev,-0.878693413668533
NUDC,NUDC,None,-0.290654550729443
DYNLL1,DYNLL1,NeuroDev,-0.381329164762482
TRAPPC1,TRAPPC1,None,-0.0607671041807602
DAD1,DAD1,None,-0.150983279136973
ELOB,ELOB,None,0.0334007118763194
CST3,CST3,None,-0.0694133562665545
CYP1B1,CYP1B1,NeuroDev,0.0
BSCL2,BSCL2,NeuroDisease,-0.103353124458973
KCTD1,KCTD1,None,0.227800331610762
MT-ND4,MT-ND4,NeuroDev,0.0822279944618605
COX6A1,COX6A1,None,0.165427568763019
ASAH1,ASAH1,NeuroDisease,0.100038629504445
SERF2,SERF2,None,-0.166570180145773
NDUFB7,NDUFB7,None,-0.0223734776147389
HSP90AB1,HSP90AB1,NeuroDev,-0.233906428100588
MT-ND1,MT-ND1,None,-0.376456896350141
MT-ATP6,MT-ATP6,None,0.0131348867160516
COPRS,COPRS,None,-0.156768311872343
NRG3,NRG3,NeuroDev,0.606100346764648
USP9Y,USP9Y,None,0.822739130178422
NEDD8,NEDD8,None,-0.0863542534826442
DKK3,DKK3,None,-0.297236791598325
FIBP,FIBP,NeuroDisease,-0.0444103900039795
DBI,DBI,None,0.089679181169998
MTCH1,MTCH1,NeuroDev,-0.31263719348801
NDUFS7,NDUFS7,NeuroDisease,0.205649423757248
COPE,COPE,None,-0.0099781323594431
TMEM208,TMEM208,None,-0.0570191823882202
MT-CYB,MT-CYB,None,0.0314039351976702
BAD,BAD,NeuroDev,-0.147399155217892
CIAO2B,CIAO2B,None,-0.126616857302068
TIMM17B,TIMM17B,None,-0.151001153516245
CHCHD10,CHCHD10,None,0.0359666766092761
SARAF,SARAF,None,-0.0759106009639517
TXN,TXN,None,-0.247513614466325
TMEM35B,TMEM35B,None,0.0
C9orf116,C9orf116,None,-0.636984451263647
SNU13,SNU13,None,0.246997226644053
DYNLRB2,DYNLRB2,None,0.0
MICOS13,MICOS13,NeuroDisease,-0.281042473046158
ABHD14A,ABHD14A,None,-0.0289390033812843
PAFAH1B3,PAFAH1B3,NeuroDev,-0.0258014347358282
AC092574.2,AC092574.2,None,-0.0892851133399755
PIFO,PIFO,None,0.0
COX14,COX14,None,-0.213432907892524
NDUFS8,NDUFS8,NeuroDisease,0.0009010188189819
CLU,CLU,NeuroDev,-0.279460050104706
NDUFA12,NDUFA12,None,-0.10758026937542
UQCR10,UQCR10,None,-0.181045844966506
COX4I1,COX4I1,None,-0.098527858277615
BEX4,BEX4,None,-0.163776222124847
DCTN3,DCTN3,None,-0.0456304264467276
FKBP4,FKBP4,None,-0.266778065293514
POLR2I,POLR2I,None,-0.041319490978514
FAM229B,FAM229B,None,0.0188703259938299
TMBIM6,TMBIM6,None,-0.13615695981237
OCIAD2,OCIAD2,None,-0.206779359188155
SLC25A39,SLC25A39,None,-0.334893193045158
CHORDC1,CHORDC1,None,-0.410473614139419
CETN2,CETN2,None,-0.0253295521752566
PCBD1,PCBD1,NeuroDisease,-0.0289929625690734
UBC,UBC,None,0.0422559769451366
APRT,APRT,None,-0.515841464582365
ATP5F1E,ATP5F1E,None,-0.0907285015198605
