TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
RPL6,TMSB10,133.13876201523357,GeneralTF,-0.27235618326369987,None,0.09158344269211913
YBX1,RPS6,133.08336378242964,GeneralTF,-0.1048253496486187,None,-0.455862410088615
YBX1,STMN2,132.39693608014454,GeneralTF,-0.1048253496486187,NeuroDev,0.42899151615732
YBX1,NPM1,129.46773609649009,GeneralTF,-0.1048253496486187,None,-0.22400930409316794
RPL6,ATP5MC2,126.05545422814212,GeneralTF,-0.27235618326369987,None,-0.3566253495130986
YBX1,ATP5PF,124.23706996273822,GeneralTF,-0.1048253496486187,HSA21gene,0.49713906921066736
YBX1,HMGN1,124.21083892522172,GeneralTF,-0.1048253496486187,HSA21gene,0.44557884516736823
RPL6,DYNLL1,123.5933436004968,GeneralTF,-0.27235618326369987,NeuroDev,-0.39177040745857267
YBX1,VDAC1,121.66252961862494,GeneralTF,-0.1048253496486187,None,-0.17180661652966028
YBX1,EEF1D,120.60499486310285,GeneralTF,-0.1048253496486187,GeneralTF,-0.3259285795636698
YBX1,ATP5PO,118.94578486434004,GeneralTF,-0.1048253496486187,HSA21gene,0.5461990795207154
RPL6,ATP5PO,118.67421175198557,GeneralTF,-0.27235618326369987,HSA21gene,0.5461990795207154
YBX1,ATP5MC3,118.66561465831651,GeneralTF,-0.1048253496486187,None,-0.2631307866549121
RPL6,PABPC1,117.04484202223004,GeneralTF,-0.27235618326369987,None,-0.04703770989814439
YBX1,EIF5A,114.91893770100232,GeneralTF,-0.1048253496486187,None,-0.7364189304332718
RPL6,VDAC1,113.62761924434948,GeneralTF,-0.27235618326369987,None,-0.17180661652966028
RPL6,EIF1B,113.54278702264348,GeneralTF,-0.27235618326369987,None,-0.18543904690864638
YBX1,POLR2I,113.31127418490604,GeneralTF,-0.1048253496486187,None,-0.058732562268651936
RPL6,CCT8,112.51482164238986,GeneralTF,-0.27235618326369987,HSA21gene,0.631659718252785
RPL6,NAP1L1,111.8207670129381,GeneralTF,-0.27235618326369987,NeuroDev,-0.2680984945782962
YBX1,EIF1B,111.07031763697016,GeneralTF,-0.1048253496486187,None,-0.18543904690864638
YBX1,C19orf53,106.80182088036568,GeneralTF,-0.1048253496486187,None,-0.3155925445862691
YBX1,RPL17,106.69405897267184,GeneralTF,-0.1048253496486187,None,-0.4154307993380327
YBX1,LSM5,106.39131811568748,GeneralTF,-0.1048253496486187,None,0.09542335989105326
RPL6,STRAP,104.80853478782238,GeneralTF,-0.27235618326369987,NeuroDev,-0.14586864360070267
YBX1,CENPX,103.99292019917496,GeneralTF,-0.1048253496486187,None,-0.16889822087654158
RPL6,GNAI2,103.85708767738905,GeneralTF,-0.27235618326369987,None,-0.2581087339058047
YBX1,NAP1L1,103.25745838651596,GeneralTF,-0.1048253496486187,NeuroDev,-0.2680984945782962
YBX1,SNHG29,103.21410979089922,GeneralTF,-0.1048253496486187,None,-0.18855679649157503
YBX1,CCT8,102.0224628031501,GeneralTF,-0.1048253496486187,HSA21gene,0.631659718252785
YBX1,PA2G4,100.13838914054634,GeneralTF,-0.1048253496486187,None,-0.1495267985509028
YBX1,MTCH1,99.77311267639342,GeneralTF,-0.1048253496486187,NeuroDev,-0.359990566054905
YBX1,HMGA1,99.49298283742134,GeneralTF,-0.1048253496486187,GeneralTF,-0.12070001237092072
RPL6,HIGD2A,98.97896732109233,GeneralTF,-0.27235618326369987,None,-0.1206361116972842
YBX1,UBE2S,98.8845476090491,GeneralTF,-0.1048253496486187,None,0.031834491100558006
RPL6,EIF3G,98.5332911646342,GeneralTF,-0.27235618326369987,NeuroDisease,-0.238019668915817
YBX1,MLLT11,97.50075767037885,GeneralTF,-0.1048253496486187,None,0.44361522799013453
RPL6,HMGA1,96.35302223275067,GeneralTF,-0.27235618326369987,GeneralTF,-0.12070001237092072
RPL6,SOD1,95.48309790600727,GeneralTF,-0.27235618326369987,HSA21TF,0.4228640436619747
YBX1,EIF3E,95.48141405702964,GeneralTF,-0.1048253496486187,None,-0.25330673972280776
YBX1,CD81,94.80769541555662,GeneralTF,-0.1048253496486187,None,-0.17154426435267858
RPL6,RSL1D1,94.7061673847759,GeneralTF,-0.27235618326369987,None,-0.04051500754424479
YBX1,HSPE1,94.07270044313788,GeneralTF,-0.1048253496486187,None,-0.20148291738879437
YBX1,SELENOW,93.69174720430937,GeneralTF,-0.1048253496486187,None,0.13113335300524245
YBX1,NDN,93.03489051221484,GeneralTF,-0.1048253496486187,NeuroDev,-0.22219042090481372
RPL6,C19orf53,92.95936882536826,GeneralTF,-0.27235618326369987,None,-0.3155925445862691
YBX1,TXN,92.49671161971202,GeneralTF,-0.1048253496486187,None,-0.22935751782940753
RPL6,RPS27L,92.40922410669609,GeneralTF,-0.27235618326369987,None,-0.4141075054293289
RPL6,RNF7,90.76495488267612,GeneralTF,-0.27235618326369987,None,-0.2741424154444158
RPL6,ATP5MC3,90.38154700560332,GeneralTF,-0.27235618326369987,None,-0.2631307866549121
RPL6,CSTB,90.24844756159555,GeneralTF,-0.27235618326369987,HSA21gene,0.40281559957969826
RPL6,ATP5PF,89.78876776927528,GeneralTF,-0.27235618326369987,HSA21gene,0.49713906921066736
YBX1,MT-ND5,89.6836296911077,GeneralTF,-0.1048253496486187,None,-0.6229109225742354
RPL6,WDR54,89.65719330451859,GeneralTF,-0.27235618326369987,None,-0.4294448448861372
YBX1,H2AFV,88.42726610484695,GeneralTF,-0.1048253496486187,None,0.10960646601313218
RPL6,PSMB4,88.33035698224575,GeneralTF,-0.27235618326369987,None,0.3189092527758468
RPL6,GDAP1L1,87.46398166744606,GeneralTF,-0.27235618326369987,None,0.35705991448931684
YBX1,PABPC1,87.40585777143333,GeneralTF,-0.1048253496486187,None,-0.04703770989814439
YBX1,GLRX5,87.17927275077389,GeneralTF,-0.1048253496486187,None,-0.2787613888472387
YBX1,EIF4G2,86.95186356698558,GeneralTF,-0.1048253496486187,None,0.13000914296115537
YBX1,GADD45GIP1,86.74259028678486,GeneralTF,-0.1048253496486187,None,-0.2284928378295262
RPL6,PA2G4,86.44734794744386,GeneralTF,-0.27235618326369987,None,-0.1495267985509028
YBX1,GNG3,86.39251464066183,GeneralTF,-0.1048253496486187,None,0.21444165992762515
RPL6,SNHG16,86.2785277782312,GeneralTF,-0.27235618326369987,None,-0.5137205733882557
RPL6,SELENOW,86.06000270537267,GeneralTF,-0.27235618326369987,None,0.13113335300524245
RPL6,GLRX5,85.25705528905166,GeneralTF,-0.27235618326369987,None,-0.2787613888472387
YBX1,GNAI2,85.02364985298365,GeneralTF,-0.1048253496486187,None,-0.2581087339058047
YBX1,MZT2A,84.88786944600108,GeneralTF,-0.1048253496486187,None,-0.3759729105981145
RPL6,JPT1,84.83557091279874,GeneralTF,-0.27235618326369987,None,-0.09733025212816386
