"","res_list.IN_2.log2FoldChange","res_list.IN_1.log2FoldChange","res_list.IN.log2FoldChange","res_list.nIN_1.log2FoldChange","res_list.nIN.log2FoldChange","res_list.nEN_1.log2FoldChange","res_list.nEN.log2FoldChange","res_list.IPC.log2FoldChange","res_list.MGE.log2FoldChange","res_list.RG.log2FoldChange","Mean"
"TMEM201",0.434457641143457,0.189286503350818,0.458215940235559,1.26624043043869,-0.535016171228169,0.411523657194788,0.329298783355906,0.297966965439834,0.0823244280840729,0.348663317879692,0.328296149589465
"PIK3CD",0.51208382456333,0.969898871896418,0.553649868636899,-0.0503713890419296,0.517800931478893,0.79571779736985,1.20756362693186,0.0635414921041603,-1.00477139692584,-0.0318843140606031,0.353322931295303
"CLSTN1",-0.134763211622327,0.0881498407061631,0.338931364999641,-0.542179438039497,0.0872310441467637,0.0146308678352383,0.147303063053822,0.012126817990436,0.327733455742817,0.0315379352706259,0.0370701740083684
"CTNNBIP1",-0.0493723281554401,0.237870778163299,-0.146828787856068,0.127522476012364,-0.527602885019469,0.439505567690051,0.499899979397072,-0.0513250423815926,-0.0902612731288584,0.128722000600036,0.0568130485321394
"LZIC",-0.0600342373713444,0.16014232092751,0.158681908881679,0.384045953436762,-0.00887186647350974,0.461461798561714,0.143070424748448,-0.018479608241128,-0.105185429676605,0.199714780058307,0.131454604485183
"NMNAT1",0.725783642652158,0.00216868246771531,0.0195962720134791,0.0105747396541929,0.561425421937761,-0.231357121731967,-0.206841112449362,0.781972871356859,-0.0399408849824598,-0.215452925396398,0.140792958552198
"UBE4B",-0.373517383684317,-0.355554030496249,0.164010736588329,0.888437732130085,-0.0722392517922828,0.0180545017990432,-0.0664325920895815,-0.309675827077686,-0.109636215329461,-0.244594524041153,-0.0461146853993272
"KIF1B",-0.119555446488424,-0.133902030025066,0.0228120802512668,0.00834035189800122,-0.0814739448290901,0.232018428583644,-0.108369751271375,-0.110449069664003,0.103150596717482,-0.299921475288002,-0.0487350260115567
"PGD",-0.274162618937949,-0.29734414649141,0.0624637761536654,0.0260346948027241,-0.223775110021515,-0.0187075080523089,-0.107350267208404,-0.23305234543744,0.158862994668749,0.194689196191659,-0.071234133433223
"CENPS",0.398047157043049,-0.115965770738414,-0.512661981874155,1.7467799616042,0.10885796842671,1.06701354045327,0.0702858062179894,0.106036119761495,0.0668247184935765,0.0438058950969351,0.297902341448465
"DFFA",-0.0827601522547594,0.12970378206698,0.0693547846116616,-0.18905112201644,0.225240572698907,0.679348430179981,-0.0827145432317965,0.371510113736844,0.362000101236455,0.255342197518331,0.173797416454616
"PEX14",0.0215153852355813,0.10770520798714,-0.135145905143486,-0.657727910305903,0.310623211858403,-0.0378108197194478,0.13797664728309,-0.0115008950465313,0.0256647398163668,-0.0465562655479413,-0.0285256603582727
"CASZ1",2.01921975429539,-0.0221465069923171,1.28045062095376,1.71488296954176,0.997493496050549,-0.360990618629287,0.527128597174834,1.46338797268483,1.39182013879708,1.31794152164694,1.03291879455235
"TARDBP",0.251343434614835,-0.00465699595922853,0.21832481432401,-0.00467987305085755,-0.174483194191811,0.262639598859555,-0.00272374395531036,-0.0580400068447659,0.0197066382788345,0.0617963180750253,0.0569226990150287
"AL109811.2",0.191494812657191,0.2281274906123,-9.04789631402601e-05,-0.174708734983701,-0.0717398932789269,-0.411210197589493,-0.214076247474909,0.201531274526058,0.365246574719059,0.00716629093650282,0.0121740891160942
"SRM",-0.199932118037528,-0.0315339542160698,0.14021613650908,0.028789832628451,0.0876757481262213,-0.045089247847569,0.241736996045238,-0.0690832519989198,-0.0799854141869455,0.286951105228979,0.0359745832250936
"EXOSC10",-0.229691505926772,-0.244664558900547,0.0471952246479626,0.246335259783917,-0.171611332407861,0.187564363106166,0.119914319609584,-0.226277475931218,-0.100146566930669,-0.0312576359625388,-0.0402639908911977
"AL109811.1",-0.135871082761548,-0.384941935527335,-0.0720640613896405,1.81571759978122,-0.0638346929387667,2.00018843082821,0.330498750099493,0.0994523663490909,0.244295491626893,-0.41758651290068,0.341585435316694
"MTOR",-0.281843494095168,-0.151576697306524,0.0921668828571775,-0.0509999975535718,-0.0530822256812512,-0.184052456618054,-0.00654206373531525,-0.174342319091643,-0.0944347250054955,-0.199799668702461,-0.110450676493231
"UBIAD1",-0.134217271371751,-0.126306542249789,0.0664876255683872,0.937732512017776,-0.404341697460978,-0.216476104400194,-0.399002603231567,-0.142193503344341,-0.243886089388941,-0.248099222049331,-0.091030289591073
"DISP3",0.230413885066906,-0.104161780861368,-0.353366803635383,-0.0741397581583214,-0.331947551423446,0.858018433793383,0.201683905998832,-0.460032858462087,-1.24127674540935,-1.00418705026573,-0.227899632335656
"FBXO2",-1.76999741504868,-1.80140993577835,-0.474864908989158,0.53962629856671,0.0917974622783148,-0.567364327081258,-0.134462047249046,-0.302052783222369,0.386551801645809,-0.596098000687009,-0.462827385556504
"FBXO44",-0.261268975087731,0.105819011041785,-0.0664342877798228,-0.845731933317597,0.335180250805753,-0.284003948934586,-0.226299597211101,-0.456902952483301,-0.552888866790729,-0.496043648390929,-0.274857494814826
"MAD2L2",0.120693474478068,-0.0376965970101745,-0.188063191688462,0.51821433390884,-0.127167842570605,0.378572740844573,0.240557707266644,-0.16766560415943,-0.371452307441846,0.24988152015627,0.0615874233783877
"DRAXIN",-0.43767547772048,-0.379919542884088,-0.416917096115879,-0.678086181532945,-0.18151113996583,1.0137243513061,0.112417235963888,-0.0270191219438253,-0.870035675365883,-0.115245270245639,-0.198026791850458
"AGTRAP",0.890804009780386,-0.0215126119645629,0.915384382870153,2.18577094230656,0.611560719273447,-0.440398937764122,1.16326572539547,-0.0522185260301198,1.64597718919018,1.12033718659956,0.801897007965695
"MTHFR",-0.0841629114556165,-0.0864941338861103,-0.338796396288404,-0.247941676975421,-0.196289976649103,-0.118394184883998,-0.243970942133834,-0.278191573922547,-0.363868170808851,-0.372846622625336,-0.233095658962922
