source,target,value
NRF1,MAGI3,7.553852724589844
NRF1,LYST,3.599655057923062
NRF1,UBE2QL1,28.12991707520485
NRF1,L3MBTL4,39.42397509451683
NRF1,SHB,3.441528960778353
NRF1,SCRG1,5.263126766480021
NRF1,SLC35F1,4.999934140256131
NRF1,PDGFC,4.373716513237087
NRF1,ST8SIA5,5.397183542807053
POU2F2,ADGRL2,12.0204645421589
POU2F2,TNRC6B,2.948264168452634
POU2F2,PEG10,12.083967073788145
POU2F2,RABGAP1L,30.023854439504664
POU2F2,CELF4,39.899140931735246
POU2F2,DACH1,2.7802605475556885
POU2F2,NRN1,11.322010175607584
POU2F2,CALN1,3.991661266467424
POU2F2,MAPT,58.50950068750365
POU2F2,FEZF1-AS1,3.3806516530336967
POU2F2,SLIT1,39.95104665582714
POU2F2,EFNA5,8.532023390732707
POU2F2,NLGN1,49.46364532338184
POU2F2,GPRIN1,14.861032816658884
POU2F2,LRFN5,10.64599179766047
POU2F2,PEX5L,4.318637966055034
POU2F2,APBA1,23.146082692171216
POU2F2,CACNA1C,46.76470466715026
POU2F2,MDGA1,30.518887016099665
POU2F2,PCDH10,7.807677498143574
POU2F2,ERC2,24.55565877043514
POU2F2,LHX5-AS1,16.583346673729412
POU2F2,PGM2L1,34.682759084578706
POU2F2,KCNC1,24.20811164703104
POU2F2,CDH22,3.549550552423149
POU2F2,RNF220,10.75636983825349
POU2F2,DPYSL2,10.409059191192584
POU2F2,GREM2,14.249876784415118
POU2F2,FBXO42,7.703428880069623
POU2F2,LRBA,2.744202271126894
POU2F2,NR2F1,3.3124390754131725
POU2F2,PTPRG,49.09763398441834
POU2F2,EBF3,67.59910930243718
POU2F2,SEZ6L,46.17190346015816
POU2F2,GAP43,31.351782188926386
POU2F2,ZNF423,32.85053240251608
POU2F2,NR2F2,3.383853685756068
POU2F2,HECW2,12.37530500807375
POU2F2,MARCH1,21.404953597963523
POU2F2,CHRM2,4.853383905398978
POU2F2,NREP,3.33029452633421
POU2F2,DST,4.690573588533693
POU2F2,KLHL29,17.21763161558169
POU2F2,ASXL3,20.11586156913152
POU2F2,CDH18,44.90895876521988
POU2F2,PRKAR2B,25.79362061891192
POU2F2,ONECUT1,58.42719664236133
POU2F2,JMJD1C,4.327761129595893
POU2F2,CD47,15.498363841855424
POU2F2,PTPRD,28.53229747101345
POU2F2,EPHB6,8.982612303579076
POU2F2,ONECUT2,43.84800364141439
POU2F2,GALNT7,3.2495266007864347
POU2F2,SEMA6D,38.72435223253692
POU2F2,CHGA,21.55344172931024
POU2F2,LHFPL3,3.610573191883197
POU2F2,DSEL,8.787342191443594
POU2F2,ADARB1,14.811712472036875
POU2F2,TCF7L1,3.1542427521488303
POU2F2,UNC5C,39.34828918550256
POU2F2,MYT1L,19.58951396147527
POU2F2,SEMA6A,9.431347358730475
POU2F2,PLEKHA6,58.605285985292966
POU2F2,KCNB2,18.88448659349774
POU2F2,SLC4A8,13.903433291880647
POU2F2,CECR2,2.729569418207942
POU2F2,KLHL1,3.0458649996406604
POU2F2,SMG7,8.283527515171986
POU2F2,NEBL,33.14987784454852
POU2F2,CXXC5,48.144332212183215
POU2F2,RTN3,4.914590546545929
POU2F2,STXBP5L,31.100259805773643
POU2F2,NRXN1,21.098699729107626
POU2F2,RTN1,20.103627988666545
POU2F2,XKR4,58.32416399606881
POU2F2,TUB,24.65235106370154
POU2F2,B3GAT1,4.74981469676805
POU2F2,EPB41,38.14225214277264
POU2F2,KLC1,8.482856358203385
POU2F2,DPYSL5,8.113367866508531
POU2F2,FAM78B,8.537340168192184
POU2F2,RAB6B,13.325074973710583
POU2F2,RNF24,10.081126871888555
POU2F2,GAB2,11.586491505666098
POU2F2,BMPR2,6.836356898220062
POU2F2,SNAP91,37.06484659496423
POU2F2,CDH23,5.240250387227547
POU2F2,SAMD5,56.93885034155644
POU2F2,FAM155A,61.770900664545664
POU2F2,RCAN2,36.9499256280428
POU2F2,STK38,16.70978555024902
POU2F2,PTPRJ,16.174847406218365
POU2F2,EDIL3,18.367378334812543
POU2F2,SLC1A2,26.676849872052
POU2F2,KCNJ6,14.013064800290572
POU2F2,LSAMP,3.366999945942568
POU2F2,ANK2,16.479821333733305
POU2F2,PPP3CA,31.75784636010245
POU2F2,BHLHE22,3.9878384436179113
POU2F2,FGF14,53.11994928205355
POU2F2,SAMD14,17.59816098438837
POU2F2,FIGN,3.789141217925749
POU2F2,RBFOX2,33.8294912757142
POU2F2,DAB1,90.47290319185592
POU2F2,EPHA5-AS1,7.080122155256984
POU2F2,CRNDE,16.00537540337606
POU2F2,SLC17A6,19.48842888213229
POU2F2,LRRN3,14.899308019653622
POU2F2,SLC5A3,9.250127780265062
POU2F2,HECW1,25.20501726696075
POU2F2,PRKCB,7.923428785230527
POU2F2,SYT1,47.27985772857701
POU2F2,DPF3,14.301030500892402
POU2F2,SCAMP5,13.808472168278406
POU2F2,PAM,3.509645608203022
POU2F2,NUDT14,4.42448595237869
POU2F2,DOCK4,22.240459584140734
POU2F2,ELAVL2,6.454000670076122
POU2F2,L1CAM,23.33234022465176
POU2F2,RAB3C,32.15462272335999
POU2F2,MAP2,12.16417002986597
POU2F2,CD24,7.201462350167668
POU2F2,STMN2,31.547403724828065
POU2F2,SCN8A,3.930968641648636
POU2F2,PTPRM,3.168721949334511
POU2F2,APP,4.338131772506447
POU2F2,NMNAT2,23.923697467872877
POU2F2,HECTD4,16.55858051165305
POU2F2,CAMKV,9.790203534499929
POU2F2,GRID2,39.20983236172658
POU2F2,PDE1A,2.871426013574106
POU2F2,GNB5,23.134186305678984
POU2F2,GPR153,13.58972208057345
POU2F2,ADGRL1,18.81489734088827
POU2F2,ITSN1,2.9163514638016346
POU2F2,LYST,13.625605053223532
POU2F2,SHB,3.614548983087303
POU2F2,GPR137C,31.37870530086746
SP3,CCDC88A,5.075233277132438
SP3,TNRC6B,2.8687913753977337
SP3,PAXBP1,13.560957756232009
SP3,CHD1,6.989352328665138
SP3,DAPK1,6.283008697698888
SP3,CHST8,4.360914919419495
SP3,FOXN3,6.367725702696265
SP3,BRINP1,4.115420676934693
SP3,DENND5B,3.4996226922818474
SP3,TET2,3.8602112831949
SP3,DCLK1,3.5756582861768305
SP3,PROX1,11.375733362030338
SP3,ASH1L,5.165543910305403
SP3,DLEU2,13.068006784474138
SP3,SNTG1,11.580018138656772
SP3,SOX21-AS1,7.260351021430947
SP3,CERS6,12.414905034808394
SP3,IGF2BP2,5.406428795840091
SP3,SOX5,8.935132571668436
SP3,POGZ,2.6328817552754917
SP3,DLX6,3.75043730474648
SP3,ENOX1,5.804470784570505
SP3,NEDD4L,10.261812580616624
SP3,EBF2,8.483837291923525
SP3,INSM1,3.889122186260647
SP3,KLF12,2.502937181453736
SP3,FAM110B,8.647153134789798
SP3,GAD2,3.419822516378249
SP3,DLX1,12.274977796297373
SP3,DST,11.7565928440029
SP3,SCAF4,15.575714849075997
SP3,HAT1,35.554501394364124
SP3,ATP2B4,10.874345395456071
SP3,ONECUT3,3.911028159455724
SP3,LTBP1,5.293075495890015
SP3,UBE2S,4.268057521420006
SP3,NAV2,3.276516158362417
SP3,DLX5,9.363682093550864
SP3,CDCA7L,5.866007965033596
SP3,DYRK1A,11.640466252166824
SP3,CRB1,8.089799275367367
SP3,ST8SIA2,3.5962579441729168
SP3,RARA,3.139845445737149
SP3,PLEKHA6,6.00759465218028
SP3,LSM5,5.924341443682356
SP3,SH3RF3,7.361357969933342
SP3,CECR2,3.060540744323684
SP3,GART,4.458410827614875
SP3,SMG7,8.782489984621893
SP3,EFCAB2,10.131004331936138
SP3,RAB3IP,7.052807856743997
SP3,CUL3,12.070875204921377
SP3,ZNF704,3.479090498040632
SP3,FAF1,3.5973304883621746
SP3,DPYSL5,2.7862475069262205
SP3,IKBIP,3.4220039716265376
SP3,PPP1R12B,2.6780424879161315
SP3,GAB2,2.686763342081508
SP3,MAP1A,4.098066938207087
SP3,MPDZ,3.2683400691578424
SP3,BMPR2,2.827912474682834
SP3,SETBP1,5.268447778921724
SP3,ARHGAP23,5.2343099472944745
SP3,DENND4C,2.493272485803985
SP3,CAMK4,4.856942720378164
SP3,NCOA5,6.75034883853633
SP3,STK38,3.168721690818548
SP3,HMGN2,12.13944863450032
SP3,NRF1,11.612297819086413
SP3,SH3BP4,9.0296280585325
SP3,RAB31,3.9474014354027775
SP3,MED13L,3.862861421815464
SP3,SLC27A4,3.707238605713696
TCF4,CCDC88A,18.04402276249236
TCF4,TNRC6B,16.694269551941378
TCF4,NSD1,7.26239608365252
TCF4,SP8,2.56906348890204
TCF4,PAXBP1,9.07639028176134
TCF4,LINC00461,129.90514257090445
TCF4,ADGRB3,5.370960072816795
TCF4,DHRS3,3.833091246958694
TCF4,MEIS2,2.8085881574478373
TCF4,RABGAP1L,9.549223149705854
TCF4,DACH1,25.69808162384804
TCF4,LRRC3B,7.541810714735414
TCF4,FOXP1,6.397620243486399
TCF4,SOX4,5.17308264484278
